@relation LaLiga-Matches-csv

@attribute HomeTeam {'La Coruna','Sp Gijon','Ath Bilbao','Ath Madrid',Celta,Espanol,Merida,Sevilla,Valladolid,Vallecano,Zaragoza,Albacete,Barcelona,Betis,'Real Madrid',Compostela,Oviedo,Salamanca,Santander,Sociedad,Tenerife,Valencia,Hercules,Logrones,Extremadura,Mallorca,Alaves,Villareal,Malaga,Numancia,'Las Palmas',Osasuna,Villarreal,Recreativo,Murcia,Getafe,Levante,Cadiz,Gimnastic,Almeria,Xerez,Granada,Elche,Eibar,Cordoba,Leganes,Girona,Huesca}
@attribute AwayTeam {Valencia,Albacete,Santander,Sociedad,Compostela,Salamanca,Betis,Tenerife,Barcelona,'Real Madrid',Oviedo,Sevilla,Merida,Zaragoza,'Ath Bilbao','La Coruna',Vallecano,Celta,'Ath Madrid','Sp Gijon',Espanol,Valladolid,Extremadura,Logrones,Hercules,Mallorca,Villareal,Alaves,Malaga,Numancia,Villarreal,Osasuna,'Las Palmas',Recreativo,Murcia,Levante,Getafe,Cadiz,Gimnastic,Almeria,Xerez,Granada,Elche,Cordoba,Eibar,Leganes,Girona,Huesca}
@attribute HTHG numeric
@attribute HTAG numeric
@attribute FTR {H,A,D}

@data
Vallecano,'Sp Gijon',1,0,H
Sociedad,Barcelona,0,1,D
Albacete,Valencia,0,1,A
'Ath Madrid',Oviedo,1,0,H
Celta,Merida,1,0,H
Espanol,Zaragoza,0,1,D
'La Coruna',Valladolid,1,0,H
Salamanca,'Ath Bilbao',1,0,H
Santander,Betis,0,0,D
Sevilla,Vallecano,0,0,H
'Sp Gijon','Real Madrid',0,0,D
Tenerife,Compostela,0,1,D
Barcelona,Santander,1,1,D
'Real Madrid',Sevilla,3,0,H
Vallecano,Espanol,1,0,H
'Ath Bilbao',Valladolid,1,1,H
Betis,'Ath Madrid',2,1,H
Compostela,Albacete,2,0,H
Merida,'La Coruna',0,1,A
Oviedo,'Sp Gijon',0,0,H
Salamanca,Tenerife,1,1,A
Valencia,Sociedad,0,0,A
Zaragoza,Celta,0,0,D
'Ath Madrid',Barcelona,2,0,H
Santander,Valencia,0,2,A
Albacete,Salamanca,1,1,D
Celta,Vallecano,1,0,H
Espanol,'Real Madrid',1,0,H
'La Coruna',Zaragoza,1,2,A
Sevilla,Oviedo,0,1,D
Sociedad,Compostela,0,1,A
'Sp Gijon',Betis,1,0,A
Tenerife,'Ath Bilbao',2,1,H
Valladolid,Merida,1,1,D
Barcelona,'Sp Gijon',1,0,H
Betis,Sevilla,0,0,D
'Ath Bilbao',Merida,0,0,D
Compostela,Santander,0,0,H
Oviedo,Espanol,1,1,A
'Real Madrid',Celta,1,0,H
Salamanca,Sociedad,3,1,D
Tenerife,Albacete,1,1,A
Valencia,'Ath Madrid',0,0,A
Vallecano,'La Coruna',0,3,A
Zaragoza,Valladolid,3,1,H
Albacete,'Ath Bilbao',0,0,H
'Ath Madrid',Compostela,1,0,H
Celta,Oviedo,0,0,H
Espanol,Betis,1,0,D
Merida,Zaragoza,1,0,D
Santander,Salamanca,1,1,H
Sevilla,Barcelona,1,0,H
Sociedad,Tenerife,0,0,A
'Sp Gijon',Valencia,0,1,A
Valladolid,Vallecano,0,0,D
'La Coruna','Real Madrid',3,0,H
Albacete,Sociedad,2,3,A
'Ath Bilbao',Zaragoza,0,0,H
Betis,Celta,0,0,A
Compostela,'Sp Gijon',1,0,H
Oviedo,'La Coruna',0,0,A
'Real Madrid',Valladolid,3,1,H
