@relation LaLiga-Matches-csv

@attribute HomeTeam {'La Coruna','Sp Gijon','Ath Bilbao','Ath Madrid',Celta,Espanol,Merida,Sevilla,Valladolid,Vallecano,Zaragoza,Albacete,Barcelona,Betis,'Real Madrid',Compostela,Oviedo,Salamanca,Santander,Sociedad,Tenerife,Valencia,Hercules,Logrones,Extremadura,Mallorca,Alaves,Villareal,Malaga,Numancia,'Las Palmas',Osasuna,Villarreal,Recreativo,Murcia,Getafe,Levante,Cadiz,Gimnastic,Almeria,Xerez,Granada,Elche,Eibar,Cordoba,Leganes,Girona,Huesca}
@attribute AwayTeam {Valencia,Albacete,Santander,Sociedad,Compostela,Salamanca,Betis,Tenerife,Barcelona,'Real Madrid',Oviedo,Sevilla,Merida,Zaragoza,'Ath Bilbao','La Coruna',Vallecano,Celta,'Ath Madrid','Sp Gijon',Espanol,Valladolid,Extremadura,Logrones,Hercules,Mallorca,Villareal,Alaves,Malaga,Numancia,Villarreal,Osasuna,'Las Palmas',Recreativo,Murcia,Levante,Getafe,Cadiz,Gimnastic,Almeria,Xerez,Granada,Elche,Cordoba,Eibar,Leganes,Girona,Huesca}
@attribute HTHG numeric
@attribute HTAG numeric
@attribute FTR {H,A,D}

@data
Valencia,Betis,1,0,H
'Ath Bilbao',Numancia,1,1,H
'Ath Madrid',Zaragoza,1,0,D
Barcelona,Alaves,0,1,A
'La Coruna','Real Madrid',2,1,H
Malaga,Valladolid,0,0,D
Mallorca,Sociedad,1,0,H
Oviedo,Espanol,0,0,H
Sevilla,Santander,0,0,H
Vallecano,Celta,1,0,H
'Ath Bilbao',Mallorca,0,1,D
'Real Madrid',Malaga,0,0,H
Valladolid,Valencia,0,0,D
Alaves,Oviedo,1,0,H
Betis,Barcelona,1,0,H
Celta,Sociedad,0,1,H
Espanol,Sevilla,1,1,D
Numancia,'La Coruna',0,0,H
Santander,'Ath Madrid',1,1,H
Zaragoza,Vallecano,1,0,D
Valladolid,'Real Madrid',0,0,A
'La Coruna','Ath Bilbao',1,0,H
'Ath Madrid',Espanol,1,0,D
Barcelona,Valladolid,2,0,H
Malaga,Numancia,1,1,H
Mallorca,Celta,0,0,H
Oviedo,Betis,0,1,D
Sevilla,Alaves,1,1,D
Sociedad,Zaragoza,1,0,H
Valencia,'Real Madrid',1,0,D
Vallecano,Santander,1,1,A
Numancia,Valencia,0,1,A
'Real Madrid',Barcelona,2,0,H
Alaves,'Ath Madrid',0,0,H
'Ath Bilbao',Malaga,1,2,D
Betis,Sevilla,1,1,D
Espanol,Vallecano,2,1,H
'La Coruna',Mallorca,1,0,H
Santander,Sociedad,0,0,D
Valladolid,Oviedo,1,0,H
Zaragoza,Celta,0,1,H
Barcelona,Numancia,1,0,H
Oviedo,'Real Madrid',0,0,D
Valencia,'Ath Bilbao',0,0,H
'Ath Madrid',Betis,0,0,D
Celta,Santander,1,0,H
Malaga,'La Coruna',1,0,H
Mallorca,Zaragoza,1,0,D
Sevilla,Valladolid,0,0,A
Sociedad,Espanol,1,0,H
Vallecano,Alaves,0,0,A
'Ath Bilbao',Barcelona,0,2,A
Betis,Vallecano,1,0,D
'Real Madrid',Sevilla,3,0,H
Alaves,Sociedad,0,1,H
Espanol,Celta,0,0,H
'La Coruna',Valencia,1,0,H
Malaga,Mallorca,0,0,D
Numancia,Oviedo,0,1,D
Santander,Zaragoza,1,0,A
Valladolid,'Ath Madrid',1,0,H
'Ath Madrid','Real Madrid',0,1,D
Barcelona,'La Coruna',2,0,H
Valencia,Malaga,0,0,D
Celta,Alaves,0,0,D
Mallorca,Santander,0,1,A
Oviedo,'Ath Bilbao',1,0,H
Sevilla,Numancia,1,0,H
Sociedad,Betis,0,0,H
Vallecano,Valladolid,1,0,H
Zaragoza,Espanol,1,0,D
Alaves,Zaragoza,0,0,A
'Ath Bilbao',Sevilla,1,0,D
Espanol,Santander,0,0,H
Malaga,Barcelona,1,0,A
Numancia,'Ath Madrid',1,0,H
'Real Madrid',Vallecano,0,0,D
Valencia,Mallorca,0,0,H
Valladolid,Sociedad,0,1,H
Betis,Celta,0,0,D
'La Coruna',Oviedo,2,0,H
Sociedad,'Real Madrid',0,1,D
'Ath Madrid','Ath Bilbao',1,1,A
Barcelona,Valencia,0,0,H
Celta,Valladolid,1,0,D
Mallorca,Espanol,1,1,A
Oviedo,Malaga,2,1,D
Santander,Alaves,0,0,D
Sevilla,'La Coruna',1,2,A
Vallecano,Numancia,0,0,D
Zaragoza,Betis,0,0,H
'La Coruna','Ath Madrid',3,0,H
Alaves,Espanol,0,0,D
'Ath Bilbao',Vallecano,0,2,A
Barcelona,Mallorca,0,1,A
Betis,Santander,1,0,D
Malaga,Sevilla,0,0,H
Numancia,Sociedad,0,0,A
'Real Madrid',Celta,0,0,H
Valencia,Oviedo,2,0,H
Valladolid,Zaragoza,0,0,D
Oviedo,Barcelona,1,0,H
Sevilla,Valencia,0,0,A
Zaragoza,'Real Madrid',0,0,A
'Ath Madrid',Malaga,1,1,D
Celta,Numancia,0,0,D
Espanol,Betis,0,0,H
Mallorca,Alaves,1,0,H
Santander,Valladolid,1,0,D
Sociedad,'Ath Bilbao',1,1,H
Vallecano,'La Coruna',1,0,H
'Ath Bilbao',Celta,0,0,H
Barcelona,Sevilla,1,0,H
Malaga,Vallecano,1,0,H
Numancia,Zaragoza,1,2,A
'Real Madrid',Santander,1,2,A
Valencia,'Ath Madrid',1,0,H
Valladolid,Espanol,0,0,H
Betis,Alaves,0,0,A
'La Coruna',Sociedad,2,0,H
Oviedo,Mallorca,0,0,D
'Ath Madrid',Barcelona,0,1,A
Espanol,'Real Madrid',0,0,A
Vallecano,Valencia,0,2,A
Alaves,Valladolid,1,0,H
Celta,'La Coruna',1,0,H
Mallorca,Betis,3,0,H
Santander,Numancia,1,0,D
Sevilla,Oviedo,0,1,A
Sociedad,Malaga,1,0,D
Zaragoza,'Ath Bilbao',0,0,D
Barcelona,Vallecano,0,1,A
Numancia,Espanol,1,0,H
'Real Madrid',Alaves,0,0,A
Valencia,Sociedad,1,0,H
'Ath Bilbao',Santander,2,2,D
'La Coruna',Zaragoza,0,0,D
Malaga,Celta,0,1,A
Oviedo,'Ath Madrid',1,0,D
Sevilla,Mallorca,0,1,A
Valladolid,Betis,0,1,A
'Ath Madrid',Sevilla,1,1,D
Alaves,Numancia,0,1,D
Betis,'Real Madrid',0,1,A
Celta,Valencia,0,0,D
Espanol,'Ath Bilbao',0,0,D
Santander,'La Coruna',0,0,D
Sociedad,Barcelona,0,0,D
Valladolid,Mallorca,0,0,H
Vallecano,Oviedo,1,1,A
Zaragoza,Malaga,1,1,H
'Ath Bilbao',Alaves,1,1,H
Barcelona,Celta,0,2,D
'La Coruna',Espanol,2,0,H
Mallorca,'Ath Madrid',1,2,A
'Real Madrid',Valladolid,0,1,A
Sevilla,Vallecano,1,2,A
Valencia,Zaragoza,0,1,H
Malaga,Santander,0,0,D
Numancia,Betis,0,0,A
Oviedo,Sociedad,0,0,A
Barcelona,Malaga,2,0,H
'La Coruna','Ath Bilbao',0,0,H
'Real Madrid',Valencia,0,0,H
Sociedad,Santander,0,0,D
Zaragoza,Espanol,0,0,A
'Las Palmas',Alaves,0,1,A
Mallorca,Valladolid,1,0,D
Numancia,Oviedo,0,0,H
Osasuna,Celta,0,0,A
Villarreal,Vallecano,0,3,A
'Ath Bilbao',Barcelona,1,1,H
Malaga,'Real Madrid',1,1,D
Santander,'La Coruna',0,1,A
Valencia,Mallorca,1,0,H
Valladolid,Numancia,1,0,H
Alaves,Villarreal,0,0,A
Celta,Sociedad,3,0,H
Espanol,Osasuna,0,0,A
Oviedo,'Las Palmas',0,1,D
Vallecano,Zaragoza,0,0,D
Barcelona,Santander,1,0,H
'Las Palmas',Valladolid,0,1,D
'Real Madrid','Ath Bilbao',2,0,H
Sociedad,'La Coruna',1,0,D
Zaragoza,Alaves,1,2,D
Celta,Espanol,1,0,H
Mallorca,Malaga,0,0,A
Numancia,Valencia,0,0,A
Osasuna,Vallecano,1,1,D
Villarreal,Oviedo,1,0,H
Santander,'Real Madrid',0,0,D
Alaves,Osasuna,0,0,H
'Ath Bilbao',Mallorca,1,1,H
'La Coruna',Barcelona,0,0,H
Malaga,Numancia,1,2,A
Oviedo,Zaragoza,2,0,H
Vallecano,Celta,1,0,H
Valencia,'Las Palmas',2,0,H
Valladolid,Villarreal,0,0,D
Espanol,Vallecano,0,0,D
'Las Palmas',Malaga,0,0,H
'Real Madrid','La Coruna',2,0,H
Sociedad,Barcelona,0,6,A
Villarreal,Valencia,0,0,D
Celta,Alaves,1,1,D
Mallorca,Santander,0,1,H
Numancia,'Ath Bilbao',0,0,D
Osasuna,Oviedo,0,0,D
Zaragoza,Valladolid,0,0,D
Espanol,Sociedad,1,2,A
Barcelona,'Real Madrid',1,0,H
'La Coruna',Mallorca,0,0,D
Valencia,Zaragoza,0,0,H
Alaves,Espanol,0,0,H
'Ath Bilbao','Las Palmas',0,1,A
Malaga,Villarreal,2,0,H
Oviedo,Celta,2,0,H
Vallecano,Sociedad,2,1,H
Santander,Numancia,2,1,H
Valladolid,Osasuna,1,1,D
'Las Palmas',Santander,1,0,H
Mallorca,Barcelona,1,0,H
Numancia,'La Coruna',0,2,A
Villarreal,'Ath Bilbao',0,0,D
Zaragoza,Malaga,0,0,D
Celta,Valladolid,1,0,H
Espanol,Oviedo,1,0,H
Osasuna,Valencia,1,1,A
Sociedad,'Real Madrid',0,2,A
Vallecano,Alaves,0,1,A
'La Coruna','Las Palmas',1,0,H
Alaves,Sociedad,0,0,A
'Ath Bilbao',Zaragoza,0,1,A
Barcelona,Numancia,0,0,D
Malaga,Osasuna,2,1,H
Oviedo,Vallecano,2,1,H
'Real Madrid',Mallorca,0,0,A
Santander,Villarreal,2,0,H
Valencia,Celta,0,0,H
Valladolid,Espanol,0,1,D
Celta,Malaga,0,0,H
Espanol,Valencia,0,0,H
'Las Palmas',Barcelona,0,0,A
Numancia,'Real Madrid',2,1,H
Villarreal,'La Coruna',1,1,H
Alaves,Oviedo,2,0,H
Osasuna,'Ath Bilbao',0,1,D
Sociedad,Mallorca,0,0,A
Vallecano,Valladolid,1,0,H
Zaragoza,Santander,1,0,H
'La Coruna',Zaragoza,1,0,H
'Ath Bilbao',Celta,1,1,H
Barcelona,Villarreal,1,1,A
Malaga,Espanol,0,0,D
Mallorca,Numancia,2,0,H
Oviedo,Sociedad,0,0,H
'Real Madrid','Las Palmas',2,1,H
Santander,Osasuna,0,0,D
Valencia,Vallecano,0,1,D
Valladolid,Alaves,0,0,H
Alaves,Valencia,0,0,D
'Las Palmas',Mallorca,0,0,H
Osasuna,'La Coruna',1,1,D
Villarreal,'Real Madrid',0,0,A
Celta,Santander,1,0,D
Espanol,'Ath Bilbao',1,0,H
Oviedo,Valladolid,1,0,H
Sociedad,Numancia,3,0,H
Vallecano,Malaga,2,1,H
Zaragoza,Barcelona,1,0,H
Mallorca,Villarreal,0,1,H
'Ath Bilbao',Vallecano,3,1,H
Barcelona,Osasuna,0,0,H
'La Coruna',Celta,0,0,H
Malaga,Alaves,2,0,H
Numancia,'Las Palmas',0,0,A
Santander,Espanol,0,1,A
Valencia,Oviedo,0,0,H
Valladolid,Sociedad,2,0,H
Celta,Barcelona,3,1,D
Espanol,'La Coruna',0,0,A
Osasuna,'Real Madrid',1,1,A
Vallecano,Santander,1,1,H
Valladolid,Valencia,0,0,D
Alaves,'Ath Bilbao',0,1,H
Oviedo,Malaga,1,2,H
Sociedad,'Las Palmas',0,0,D
Villarreal,Numancia,0,0,D
Zaragoza,Mallorca,1,0,D
'Las Palmas',Villarreal,0,2,A
Numancia,Zaragoza,1,1,D
Valencia,Sociedad,0,0,H
'Ath Bilbao',Oviedo,0,0,H
Barcelona,Espanol,2,0,H
'La Coruna',Vallecano,1,0,D
Malaga,Valladolid,1,0,H
Mallorca,Osasuna,0,1,D
'Real Madrid',Celta,2,0,H
Santander,Alaves,0,0,H
Alaves,'La Coruna',2,1,H
Espanol,'Real Madrid',1,2,A
Sociedad,Villarreal,0,1,A
Vallecano,Barcelona,1,1,D
Zaragoza,'Las Palmas',0,0,H
Celta,Mallorca,1,1,D
Osasuna,Numancia,0,0,H
Oviedo,Santander,1,0,H
Valencia,Malaga,1,0,H
Valladolid,'Ath Bilbao',0,0,D
'Real Madrid',Vallecano,2,0,H
'Ath Bilbao',Valencia,1,0,D
Barcelona,Alaves,1,0,H
'La Coruna',Oviedo,1,0,H
'Las Palmas',Osasuna,0,0,H
Malaga,Sociedad,2,0,H
Mallorca,Espanol,1,2,H
Numancia,Celta,2,1,H
Santander,Valladolid,2,1,D
Villarreal,Zaragoza,1,0,D
Malaga,'Ath Bilbao',2,0,H
Alaves,'Real Madrid',1,1,A
Celta,'Las Palmas',0,1,A
Espanol,Numancia,2,0,H
Osasuna,Villarreal,1,0,H
Oviedo,Barcelona,0,2,A
Sociedad,Zaragoza,1,0,D
Vallecano,Mallorca,2,1,D
Valencia,Santander,1,0,H
Valladolid,'La Coruna',0,0,H
Barcelona,Valladolid,0,0,H
'La Coruna',Valencia,0,0,H
'Las Palmas',Espanol,1,0,H
Mallorca,Alaves,1,0,H
Numancia,Vallecano,0,1,A
'Real Madrid',Oviedo,1,0,H
Sociedad,'Ath Bilbao',0,1,A
Santander,Malaga,0,1,A
Villarreal,Celta,1,0,H
Zaragoza,Osasuna,3,2,H
Valencia,Barcelona,0,1,A
Alaves,Numancia,0,1,A
'Ath Bilbao',Santander,1,0,H
Celta,Zaragoza,1,1,D
Espanol,Villarreal,1,0,H
Malaga,'La Coruna',1,1,A
Osasuna,Sociedad,0,0,D
Oviedo,Mallorca,0,1,D
Vallecano,'Las Palmas',1,1,D
Valladolid,'Real Madrid',1,1,D
'Real Madrid',Zaragoza,0,0,H
'Ath Bilbao','La Coruna',1,2,D
Espanol,Zaragoza,3,0,H
Malaga,Barcelona,0,0,D
Alaves,'Las Palmas',0,0,H
Celta,Osasuna,0,0,H
Oviedo,Numancia,1,0,H
Vallecano,Villarreal,0,0,A
Santander,Sociedad,1,2,A
Valencia,'Real Madrid',0,0,A
Valladolid,Mallorca,2,0,H
Barcelona,'Ath Bilbao',6,0,H
'La Coruna',Santander,2,1,H
'Las Palmas',Oviedo,0,0,H
Mallorca,Valencia,1,0,D
Numancia,Valladolid,0,0,D
Osasuna,Espanol,0,3,A
'Real Madrid',Malaga,3,2,H
Sociedad,Celta,1,0,D
Villarreal,Alaves,1,0,H
Zaragoza,Vallecano,2,0,H
'Ath Bilbao','Real Madrid',1,0,H
'La Coruna',Sociedad,3,0,H
Espanol,Celta,0,0,A
Vallecano,Osasuna,1,0,H
Valencia,Numancia,2,0,H
Alaves,Zaragoza,1,0,H
Malaga,Mallorca,0,1,A
Oviedo,Villarreal,1,0,A
Santander,Barcelona,1,0,H
Valladolid,'Las Palmas',0,0,H
Barcelona,'La Coruna',2,1,A
'Las Palmas',Valencia,0,1,A
'Real Madrid',Santander,0,0,H
Celta,Vallecano,1,1,D
Mallorca,'Ath Bilbao',1,0,H
Numancia,Malaga,1,0,H
Osasuna,Alaves,0,0,A
Sociedad,Espanol,1,1,H
Villarreal,Valladolid,1,0,H
Zaragoza,Oviedo,4,1,H
'La Coruna','Real Madrid',0,2,D
Alaves,Celta,1,0,D
'Ath Bilbao',Numancia,1,0,H
Barcelona,Sociedad,1,0,H
Malaga,'Las Palmas',0,1,H
Oviedo,Osasuna,2,0,A
Vallecano,Espanol,0,1,D
Santander,Mallorca,2,1,H
Valencia,Villarreal,1,1,H
Valladolid,Zaragoza,1,0,H
Mallorca,'La Coruna',1,0,H
'Real Madrid',Barcelona,2,1,D
Sociedad,Vallecano,1,0,H
Zaragoza,Valencia,1,0,D
Celta,Oviedo,0,0,H
Espanol,Alaves,0,0,D
'Las Palmas','Ath Bilbao',0,0,D
Numancia,Santander,1,0,H
Osasuna,Valladolid,0,0,H
Villarreal,Malaga,0,1,A
'Ath Bilbao',Villarreal,0,1,D
'La Coruna',Numancia,0,0,H
Valencia,Osasuna,0,0,H
Alaves,Vallecano,1,1,H
Barcelona,Mallorca,0,0,D
Malaga,Zaragoza,1,0,H
Oviedo,Espanol,1,0,D
'Real Madrid',Sociedad,2,0,H
Santander,'Las Palmas',0,0,H
Valladolid,Celta,1,0,A
'Las Palmas','La Coruna',2,0,H
Celta,Valencia,0,1,H
Espanol,Valladolid,0,0,H
Mallorca,'Real Madrid',0,0,H
Numancia,Barcelona,0,1,D
Osasuna,Malaga,1,2,D
Sociedad,Alaves,1,0,D
Vallecano,Oviedo,0,1,A
Villarreal,Santander,2,0,H
Zaragoza,'Ath Bilbao',2,1,D
'La Coruna',Villarreal,2,0,H
Malaga,Celta,1,2,A
'Real Madrid',Numancia,1,0,H
Valencia,Espanol,0,0,A
'Ath Bilbao',Osasuna,0,0,A
Barcelona,'Las Palmas',2,1,H
Mallorca,Sociedad,1,0,D
Oviedo,Alaves,2,1,D
Santander,Zaragoza,1,1,H
Valladolid,Vallecano,1,1,A
Vallecano,Valencia,0,1,A
Alaves,Valladolid,2,0,H
Celta,'Ath Bilbao',1,0,H
Espanol,Malaga,1,0,A
'Las Palmas','Real Madrid',0,0,A
Numancia,Mallorca,0,0,A
Osasuna,Santander,1,1,D
Sociedad,Oviedo,0,0,H
Villarreal,Barcelona,3,1,D
Zaragoza,'La Coruna',1,0,H
Barcelona,Zaragoza,0,2,D
'La Coruna',Osasuna,0,1,H
'Real Madrid',Villarreal,1,0,H
Valencia,Alaves,1,1,A
'Ath Bilbao',Espanol,0,1,A
Malaga,Vallecano,1,1,D
Mallorca,'Las Palmas',1,1,H
Numancia,Sociedad,1,1,D
Santander,Celta,2,0,H
Valladolid,Oviedo,0,0,H
Celta,'La Coruna',0,0,H
Alaves,Malaga,0,1,A
Espanol,Santander,1,0,H
'Las Palmas',Numancia,0,1,D
Osasuna,Barcelona,2,1,H
Oviedo,Valencia,0,0,D
Sociedad,Valladolid,2,0,H
Vallecano,'Ath Bilbao',0,1,A
Villarreal,Mallorca,2,0,D
Zaragoza,'Real Madrid',1,2,A
'Real Madrid',Osasuna,0,1,D
Valencia,Valladolid,0,0,H
'Ath Bilbao',Alaves,0,0,H
Barcelona,Celta,1,1,D
'La Coruna',Espanol,1,0,H
'Las Palmas',Sociedad,1,0,H
Malaga,Oviedo,1,1,D
Mallorca,Zaragoza,2,0,H
Numancia,Villarreal,0,0,A
Santander,Vallecano,1,1,D
Celta,'Real Madrid',2,0,H
Espanol,Barcelona,0,0,D
Sociedad,Valencia,0,0,A
Alaves,Santander,2,0,H
Osasuna,Mallorca,0,0,H
Oviedo,'Ath Bilbao',3,0,H
Vallecano,'La Coruna',0,0,D
Valladolid,Malaga,0,0,D
Villarreal,'Las Palmas',1,0,H
Zaragoza,Numancia,2,0,H
'La Coruna',Alaves,1,1,H
Villarreal,Sociedad,1,1,A
'Ath Bilbao',Valladolid,1,1,D
Barcelona,Vallecano,1,1,H
'Las Palmas',Zaragoza,0,1,H
Malaga,Valencia,2,0,H
Mallorca,Celta,0,0,H
Numancia,Osasuna,1,0,H
'Real Madrid',Espanol,1,0,D
Santander,Oviedo,1,0,H
Valencia,'Ath Bilbao',0,0,H
Alaves,Barcelona,0,1,A
Celta,Numancia,0,0,D
Espanol,Mallorca,0,1,A
Osasuna,'Las Palmas',1,1,D
Oviedo,'La Coruna',0,2,A
Sociedad,Malaga,2,0,H
Vallecano,'Real Madrid',0,1,A
Valladolid,Santander,1,0,D
Zaragoza,Villarreal,0,0,D
'Las Palmas',Celta,0,0,A
'Real Madrid',Alaves,2,0,H
'Ath Bilbao',Malaga,0,1,A
Barcelona,Oviedo,0,0,A
'La Coruna',Valladolid,0,1,A
Mallorca,Vallecano,3,0,H
Numancia,Espanol,1,1,H
Santander,Valencia,0,0,D
Villarreal,Osasuna,1,0,H
Zaragoza,Sociedad,1,1,D
Alaves,Mallorca,1,1,A
'Ath Bilbao',Sociedad,0,2,A
Celta,Villarreal,0,0,H
Espanol,'Las Palmas',3,1,H
Malaga,Santander,1,0,H
Osasuna,Zaragoza,0,0,H
Oviedo,'Real Madrid',1,1,D
Vallecano,Numancia,1,1,H
Valencia,'La Coruna',0,0,A
Valladolid,Barcelona,0,1,D
'Las Palmas',Vallecano,1,0,H
Numancia,Alaves,1,0,H
Santander,'Ath Bilbao',0,0,H
Villarreal,Espanol,2,0,H
Barcelona,Valencia,2,1,H
'La Coruna',Malaga,1,0,H
Mallorca,Oviedo,1,0,H
'Real Madrid',Valladolid,1,0,H
Sociedad,Osasuna,0,1,A
Zaragoza,Celta,0,0,D
Valencia,'Real Madrid',1,0,H
'La Coruna',Valladolid,1,0,H
Espanol,Zaragoza,1,1,H
Malaga,Betis,1,1,H
Mallorca,'Las Palmas',0,1,A
Osasuna,Celta,0,1,A
Sociedad,'Ath Bilbao',1,1,A
Vallecano,Villarreal,1,2,A
Sevilla,Barcelona,0,1,A
Tenerife,Alaves,0,1,A
'Ath Bilbao',Mallorca,0,0,A
'Las Palmas','La Coruna',0,0,A
'Real Madrid',Malaga,1,0,D
Villarreal,Osasuna,1,0,H
Alaves,Sociedad,1,0,H
Barcelona,Vallecano,0,0,D
Betis,Espanol,2,0,H
Celta,Tenerife,2,0,H
Valladolid,Valencia,1,0,D
Zaragoza,Sevilla,0,0,D
Betis,'Real Madrid',1,1,H
'La Coruna','Ath Bilbao',0,1,A
Mallorca,Alaves,0,0,D
Osasuna,Barcelona,0,0,D
Espanol,Sevilla,1,1,A
Malaga,Valladolid,0,1,A
Sociedad,Celta,0,0,D
Vallecano,Zaragoza,1,0,A
Tenerife,Villarreal,1,0,H
Valencia,'Las Palmas',0,0,H
Alaves,'La Coruna',0,1,A
Barcelona,Tenerife,1,0,H
'Las Palmas',Malaga,0,0,D
'Real Madrid',Espanol,3,0,H
Villarreal,Sociedad,0,0,H
'Ath Bilbao',Valencia,0,1,D
Celta,Mallorca,1,0,H
Sevilla,Vallecano,0,1,H
Valladolid,Betis,0,0,A
Zaragoza,Osasuna,0,1,A
Espanol,Vallecano,1,0,H
Malaga,'Ath Bilbao',0,1,A
'Real Madrid',Valladolid,2,1,D
Sociedad,Barcelona,0,1,A
Betis,'Las Palmas',0,0,H
'La Coruna',Celta,0,1,D
Mallorca,Villarreal,0,1,A
Osasuna,Sevilla,0,0,H
Tenerife,Zaragoza,0,0,D
Valencia,Alaves,0,0,D
Alaves,Malaga,0,0,H
'Ath Bilbao',Betis,0,0,D
Barcelona,Mallorca,3,0,H
'Las Palmas','Real Madrid',2,2,H
Vallecano,Osasuna,0,1,A
Sevilla,Tenerife,1,0,H
Valladolid,Espanol,0,1,A
Villarreal,'La Coruna',1,0,D
Zaragoza,Sociedad,1,1,H
Celta,Valencia,0,1,D
'La Coruna',Barcelona,0,1,H
'Real Madrid','Ath Bilbao',0,0,H
Betis,Alaves,0,0,H
Espanol,Osasuna,0,0,D
Malaga,Celta,2,0,D
Mallorca,Zaragoza,0,0,A
Sociedad,Sevilla,2,0,D
Tenerife,Vallecano,1,1,H
Valencia,Villarreal,1,0,H
Valladolid,'Las Palmas',1,0,H
Alaves,'Real Madrid',0,0,D
Sevilla,Mallorca,2,2,D
Zaragoza,'La Coruna',0,1,A
'Ath Bilbao',Valladolid,0,2,A
Barcelona,Valencia,1,1,D
Celta,Betis,2,0,H
'Las Palmas',Espanol,0,0,H
Osasuna,Tenerife,0,0,A
Vallecano,Sociedad,1,1,H
Villarreal,Malaga,1,1,A
Betis,Villarreal,0,1,D
'La Coruna',Sevilla,1,0,H
'Las Palmas','Ath Bilbao',0,1,D
Malaga,Barcelona,0,0,D
Sociedad,Osasuna,0,1,H
Espanol,Tenerife,2,0,H
Mallorca,Vallecano,1,0,H
'Real Madrid',Celta,1,1,D
Valencia,Zaragoza,1,0,H
Valladolid,Alaves,0,2,A
Barcelona,Betis,1,0,H
Osasuna,Mallorca,2,0,H
Vallecano,'La Coruna',0,0,H
Tenerife,Sociedad,0,1,A
Villarreal,'Real Madrid',1,0,A
Alaves,'Las Palmas',1,0,H
'Ath Bilbao',Espanol,1,0,D
Celta,Valladolid,0,0,D
Sevilla,Valencia,0,1,D
Zaragoza,Malaga,0,1,A
'Ath Bilbao',Alaves,2,0,H
Betis,Zaragoza,0,0,A
'La Coruna',Osasuna,4,1,H
Espanol,Sociedad,1,1,A
'Las Palmas',Celta,3,1,H
Malaga,Sevilla,1,1,A
Mallorca,Tenerife,1,0,H
'Real Madrid',Barcelona,1,0,H
Valencia,Vallecano,1,1,H
Valladolid,Villarreal,1,0,H
Sevilla,Betis,0,0,D
Alaves,Espanol,1,1,H
Barcelona,Valladolid,2,0,H
Celta,'Ath Bilbao',1,0,A
Osasuna,Valencia,0,0,D
Sociedad,Mallorca,0,0,A
Vallecano,Malaga,2,0,H
Tenerife,'La Coruna',1,1,H
Villarreal,'Las Palmas',1,0,H
Zaragoza,'Real Madrid',1,0,H
'La Coruna',Sociedad,1,1,H
'Las Palmas',Barcelona,0,0,D
'Real Madrid',Sevilla,1,0,H
Alaves,Celta,1,0,H
'Ath Bilbao',Villarreal,0,0,D
Betis,Vallecano,0,0,H
Espanol,Mallorca,1,1,H
Malaga,Osasuna,2,0,H
Valencia,Tenerife,0,0,D
Valladolid,Zaragoza,1,0,H
Barcelona,'Ath Bilbao',0,1,A
Celta,Espanol,2,1,H
Mallorca,'La Coruna',2,1,H
Osasuna,Betis,0,0,A
Sociedad,Valencia,1,0,H
Vallecano,'Real Madrid',0,2,A
Sevilla,Valladolid,1,0,H
Tenerife,Malaga,0,0,H
Villarreal,Alaves,1,0,H
Zaragoza,'Las Palmas',1,0,H
Alaves,Barcelona,1,0,H
Espanol,'La Coruna',0,0,H
'Real Madrid',Osasuna,2,0,H
Valencia,Mallorca,0,1,D
'Ath Bilbao',Zaragoza,1,0,H
Betis,Tenerife,0,0,H
Celta,Villarreal,1,0,H
'Las Palmas',Sevilla,0,0,H
Malaga,Sociedad,1,0,H
Valladolid,Vallecano,2,1,H
Sevilla,'Ath Bilbao',0,0,D
Tenerife,'Real Madrid',0,1,A
Barcelona,Celta,1,0,D
'La Coruna',Valencia,0,0,H
Mallorca,Malaga,1,1,D
Osasuna,Valladolid,0,0,H
Sociedad,Betis,0,0,D
Vallecano,'Las Palmas',0,0,D
Villarreal,Espanol,1,1,D
Zaragoza,Alaves,0,1,A
Espanol,Valencia,2,0,A
'Las Palmas',Osasuna,0,1,D
'Real Madrid',Sociedad,1,1,H
Alaves,Sevilla,0,0,A
'Ath Bilbao',Vallecano,0,0,D
Betis,Mallorca,1,0,H
Celta,Zaragoza,1,0,H
Malaga,'La Coruna',1,0,D
Valladolid,Tenerife,0,0,D
Villarreal,Barcelona,0,1,A
'La Coruna',Betis,1,0,H
Espanol,Barcelona,0,0,H
Sociedad,Valladolid,1,0,H
Sevilla,Celta,0,0,A
Tenerife,'Las Palmas',0,1,A
Valencia,Malaga,2,1,H
Mallorca,'Real Madrid',0,0,D
Osasuna,'Ath Bilbao',0,0,A
Zaragoza,Villarreal,2,0,H
Celta,Vallecano,0,1,D
'Las Palmas',Sociedad,0,0,D
'Real Madrid','La Coruna',2,1,H
Villarreal,Sevilla,0,1,A
Alaves,Osasuna,0,0,A
'Ath Bilbao',Tenerife,0,0,A
Barcelona,Zaragoza,1,0,H
Betis,Valencia,1,2,A
Malaga,Espanol,1,0,H
Valladolid,Mallorca,1,0,H
'Ath Bilbao',Sociedad,1,1,H
Villarreal,Vallecano,0,0,D
Alaves,Tenerife,1,0,H
Barcelona,Sevilla,1,1,H
Betis,Malaga,0,0,D
Celta,Osasuna,1,0,D
'Las Palmas',Mallorca,1,0,H
'Real Madrid',Valencia,0,0,H
Valladolid,'La Coruna',2,0,H
Zaragoza,Espanol,0,0,D
